X,Y,Z,azimuth,dip,polarity,formation
5410.48985,5,-173.571345,90,55.4732331,1,Fault1
9049.705535,5,-827.14277,90,80.58322916,1,Fault2
9675.19573,5,-3087.857055,90,70.68572299,1,Fault2
10727.15652,5,-5466.428485,90,63.90002445,1,Fault2
14195.78397,5,-4641.42848,270,69.23903516,1,Fault3
14053.62711,5,-4909.28563,270,69.23903497,1,Fault4
17038.92123,5,-1448.57134,270,64.64577581,1,Fault5
15731.07809,5,-3966.42848,270,52.83168958,1,Fault5
19910.48985,5,-1437.857055,270,64.53218228,1,Fault6
24203.6271,5,-1941.428485,270,66.14183265,1,Fault7
11779.1173,5,-5830.7142,270,8.82037961,1,Lower-filling
12831.0781,5,-5487.8571,270,25.2232075,1,Lower-filling
15020.2938,5,-3912.8571,270,39.9441007,1,Lower-filling
15588.9212,5,-3484.2856,270,34.418041,1,Lower-filling
18346.7644,5,-1769.9999,90,15.326741,1,Lower-filling
21246.7644,5,-677.14277,270,29.0674832,1,Lower-filling
12774.21534,5,-4416.42848,270,21.58819311,1,Middle-filling
13684.01926,5,-4084.285625,270,17.43434359,1,Middle-filling
15816.3722,5,-2187.857055,270,37.59912122,1,Middle-filling
17635.98005,5,-559.28563,270,43.98244174,1,Middle-filling
5069.313375,5,147.85723,90,22.9053096,1,Upper-filling
7059.509455,5,-377.14277,90,6.968173303,1,Upper-filling
8879.1173,5,-902.14277,90,27.31275125,1,Upper-filling
10300.68593,5,-1727.14277,90,33.24029625,1,Upper-filling
15532.05848,5,-1844.999915,270,14.37310956,1,Upper-filling
17749.70554,5,-548.571345,270,36.48195985,1,Upper-filling
5040.882005,5,276.42866,90,16.40505843,1,Mesozoic
7087.94083,5,-55.714195,90,3.23532091,1,Mesozoic
8992.84279,5,-280.714195,90,11.82463242,1,Mesozoic
10613.43103,5,-537.857055,90,6.450140786,1,Mesozoic
12660.48985,5,-687.857055,90,2.568724949,1,Mesozoic
14934.99966,5,-805.714195,90,3.40521025,1,Mesozoic
20791.8624,5,-1159.28563,90,4.812342613,1,Mesozoic
24345.78397,5,-1405.714195,90,6.249624468,1,Mesozoic
17948.72514,5,426.428655,90,4.805324595,1,Tertiary
22924.21534,5,-109.28563,90,9.974163683,1,Tertiary
25397.74475,5,-452.14277,90,5.636728677,1,Tertiary
27530.0977,5,-709.285625,90,8.444171645,1,Tertiary
22298.72515,5,158.571515,90,12.15257005,1,Quaternary
26051.66632,5,126.42866,90,26.23409248,1,Quaternary
19057.54867,5,415.714375,90,2.979955557,1,Quaternary
