X,Y,Z,azimuth,dip,polarity,formation
9049.705535,4600,-827.14277,90,80.58322916,1,Fault2
9675.19573,4600,-3087.857055,90,70.68572299,1,Fault2
10727.15652,4600,-5466.428485,90,63.90002445,1,Fault2
17038.92123,4600,-1448.57134,270,64.64577581,1,Fault5
15731.07809,4600,-3966.42848,270,52.83168958,1,Fault5
19910.48985,4600,-1437.857055,270,64.53218228,1,Fault6
11779.1173,4600,-5830.7142,270,8.82037961,1,Lower-filling
12831.0781,4600,-5487.8571,270,25.2232075,1,Lower-filling
15020.2938,4600,-3912.8571,270,39.9441007,1,Lower-filling
15588.9212,4600,-3484.2856,270,34.418041,1,Lower-filling
18346.7644,4600,-1769.9999,90,15.326741,1,Lower-filling
5069.313375,4600,147.85723,90,22.9053096,1,Upper-filling
7059.509455,4600,-377.14277,90,6.968173303,1,Upper-filling
8879.1173,4600,-902.14277,90,27.31275125,1,Upper-filling
10300.68593,4600,-1727.14277,90,33.24029625,1,Upper-filling
15532.05848,4600,-1844.999915,270,14.37310956,1,Upper-filling
17749.70554,4600,-548.571345,270,36.48195985,1,Upper-filling
5040.882005,4600,276.42866,90,16.40505843,1,Unconformity
7087.94083,4600,-55.714195,90,3.23532091,1,Unconformity
8992.84279,4600,-280.714195,90,11.82463242,1,Unconformity
10613.43103,4600,-537.857055,90,6.450140786,1,Unconformity
12660.48985,4600,-687.857055,90,2.568724949,1,Unconformity
14934.99966,4600,-805.714195,90,3.40521025,1,Unconformity
20791.8624,4600,-1159.28563,90,4.812342613,1,Unconformity
24345.78397,4600,-1405.714195,90,6.249624468,1,Unconformity
17948.72514,4600,426.428655,90,4.805324595,1,Tertiary
22924.21534,4600,-109.28563,90,9.974163683,1,Tertiary
25397.74475,4600,-452.14277,90,5.636728677,1,Tertiary
27530.0977,4600,-709.285625,90,8.444171645,1,Tertiary
17500,4600,250.28563,90,52,1,Thrust1_south
20500,4600,-100,90,45,1,Thrust2_south
24500,4600,-950,90,6.249624468,1,Pink
12500,4600,-200,90,3.23532091,1,Orange
9049.705535,9200,-827.14277,90,80.58322916,1,Fault2
9675.19573,9200,-3087.857055,90,70.68572299,1,Fault2
10727.15652,9200,-5466.428485,90,63.90002445,1,Fault2
17038.92123,9200,-1448.57134,270,64.64577581,1,Fault5
15731.07809,9200,-3966.42848,270,52.83168958,1,Fault5
19910.48985,9200,-1437.857055,270,64.53218228,1,Fault6
11779.1173,9200,-5830.7142,270,8.82037961,1,Lower-filling
12831.0781,9200,-5487.8571,270,25.2232075,1,Lower-filling
15020.2938,9200,-3912.8571,270,39.9441007,1,Lower-filling
15588.9212,9200,-3484.2856,270,34.418041,1,Lower-filling
18346.7644,9200,-1769.9999,90,15.326741,1,Lower-filling
5069.313375,9200,147.85723,90,22.9053096,1,Upper-filling
7059.509455,9200,-377.14277,90,6.968173303,1,Upper-filling
8879.1173,9200,-902.14277,90,27.31275125,1,Upper-filling
10300.68593,9200,-1727.14277,90,33.24029625,1,Upper-filling
15532.05848,9200,-1844.999915,270,14.37310956,1,Upper-filling
17749.70554,9200,-548.571345,270,36.48195985,1,Upper-filling
5040.882005,9200,276.42866,90,16.40505843,1,Unconformity
7087.94083,9200,-55.714195,90,3.23532091,1,Unconformity
8992.84279,9200,-280.714195,90,11.82463242,1,Unconformity
10613.43103,9200,-537.857055,90,6.450140786,1,Unconformity
12660.48985,9200,-687.857055,90,2.568724949,1,Unconformity
14934.99966,9200,-805.714195,90,3.40521025,1,Unconformity
20791.8624,9200,-1159.28563,90,4.812342613,1,Unconformity
24345.78397,9200,-1405.714195,90,6.249624468,1,Unconformity
17948.72514,9200,426.428655,90,4.805324595,1,Tertiary
22924.21534,9200,-109.28563,90,9.974163683,1,Tertiary
25397.74475,9200,-452.14277,90,5.636728677,1,Tertiary
27530.0977,9200,-709.285625,90,8.444171645,1,Tertiary
17500,9200,250.28563,90,52,1,Thrust1_south
20500,9200,-100,90,45,1,Thrust2_south
24500,9200,-950,90,6.249624468,1,Pink
12500,9200,-200,90,3.23532091,1,Orange
