temperature,error,i,j,k,var_flag,flag,Name
134.918422,0.5,32,15,21,2,1,!borehole1
131.5999468,0.5,32,15,22,2,1,!borehole1
128.3008724,0.5,32,15,23,2,1,!borehole1
125.0185125,0.5,32,15,24,2,1,!borehole1
121.7500306,0.5,32,15,25,2,1,!borehole1
118.4941006,0.5,32,15,26,2,1,!borehole1
115.2507229,0.5,32,15,27,2,1,!borehole1
112.0199125,0.5,32,15,28,2,1,!borehole1
108.8006636,0.5,32,15,29,2,1,!borehole1
105.5908983,0.5,32,15,30,2,1,!borehole1
102.3881465,0.5,32,15,31,2,1,!borehole1
99.19014363,0.5,32,15,32,2,1,!borehole1
95.99501522,0.5,32,15,33,2,1,!borehole1
92.80115174,0.5,32,15,34,2,1,!borehole1
89.60737482,0.5,32,15,35,2,1,!borehole1
86.41230775,0.5,32,15,36,2,1,!borehole1
83.21385923,0.5,32,15,37,2,1,!borehole1
80.00926119,0.5,32,15,38,2,1,!borehole1
76.79488964,0.5,32,15,39,2,1,!borehole1
73.56557614,0.5,32,15,40,2,1,!borehole1
70.3125008,0.5,32,15,41,2,1,!borehole1
67.01918857,0.5,32,15,42,2,1,!borehole1
63.65223796,0.5,32,15,43,2,1,!borehole1
60.1535278,0.5,32,15,44,2,1,!borehole1
56.58354289,0.5,32,15,45,2,1,!borehole1
53.00928097,0.5,32,15,46,2,1,!borehole1
49.46904178,0.5,32,15,47,2,1,!borehole1
45.99881287,0.5,32,15,48,2,1,!borehole1
42.65732555,0.5,32,15,49,2,1,!borehole1
40.02483394,0.5,32,15,50,2,1,!borehole1
37.29632635,0.5,32,15,51,2,1,!borehole1
33.97818647,0.5,32,15,52,2,1,!borehole1
29.98839204,0.5,32,15,53,2,1,!borehole1
25.30077233,0.5,32,15,54,2,1,!borehole1
20.67129684,0.5,32,15,55,2,1,!borehole1
16.17754603,0.5,32,15,56,2,1,!borehole1
12.01992216,0.5,32,15,57,2,1,!borehole1
100.7922448,0.5,79,23,31,2,1,!borehole2
97.58541202,0.5,79,23,32,2,1,!borehole2
94.38805185,0.5,79,23,33,2,1,!borehole2
91.19985656,0.5,79,23,34,2,1,!borehole2
88.01971735,0.5,79,23,35,2,1,!borehole2
84.84595581,0.5,79,23,36,2,1,!borehole2
81.67624403,0.5,79,23,37,2,1,!borehole2
78.50604844,0.5,79,23,38,2,1,!borehole2
75.32875424,0.5,79,23,39,2,1,!borehole2
72.13480924,0.5,79,23,40,2,1,!borehole2
68.90512336,0.5,79,23,41,2,1,!borehole2
65.60419877,0.5,79,23,42,2,1,!borehole2
61.56146206,0.5,79,23,43,2,1,!borehole2
58.10046015,0.5,79,23,44,2,1,!borehole2
55.30797865,0.5,79,23,45,2,1,!borehole2
51.85601914,0.5,79,23,46,2,1,!borehole2
47.65083067,0.5,79,23,47,2,1,!borehole2
42.77000072,0.5,79,23,48,2,1,!borehole2
37.92923108,0.5,79,23,49,2,1,!borehole2
33.09473747,0.5,79,23,50,2,1,!borehole2
28.239561,0.5,79,23,51,2,1,!borehole2
23.56437781,0.5,79,23,52,2,1,!borehole2
19.07373968,0.5,79,23,53,2,1,!borehole2
14.5525202,0.5,79,23,54,2,1,!borehole2
147.1420658,0.5,54,35,18,2,1,!borehole3
143.8018132,0.5,54,35,19,2,1,!borehole3
140.4545148,0.5,54,35,20,2,1,!borehole3
137.1042304,0.5,54,35,21,2,1,!borehole3
133.7820955,0.5,54,35,22,2,1,!borehole3
130.4840233,0.5,54,35,23,2,1,!borehole3
127.2091944,0.5,54,35,24,2,1,!borehole3
123.9555147,0.5,54,35,25,2,1,!borehole3
120.7222191,0.5,54,35,26,2,1,!borehole3
117.5105871,0.5,54,35,27,2,1,!borehole3
114.3229959,0.5,54,35,28,2,1,!borehole3
111.1604719,0.5,54,35,29,2,1,!borehole3
108.0227784,0.5,54,35,30,2,1,!borehole3
104.9102349,0.5,54,35,31,2,1,!borehole3
101.824276,0.5,54,35,32,2,1,!borehole3
98.7679986,0.5,54,35,33,2,1,!borehole3
95.74577976,0.5,54,35,34,2,1,!borehole3
92.76218165,0.5,54,35,35,2,1,!borehole3
88.9984132,0.5,54,35,36,2,1,!borehole3
84.44366063,0.5,54,35,37,2,1,!borehole3
79.90103573,0.5,54,35,38,2,1,!borehole3
75.36472195,0.5,54,35,39,2,1,!borehole3
70.83806202,0.5,54,35,40,2,1,!borehole3
66.32945383,0.5,54,35,41,2,1,!borehole3
61.85113847,0.5,54,35,42,2,1,!borehole3
57.42418266,0.5,54,35,43,2,1,!borehole3
53.08999037,0.5,54,35,44,2,1,!borehole3
48.93129404,0.5,54,35,45,2,1,!borehole3
46.0683544,0.5,54,35,46,2,1,!borehole3
44.32543872,0.5,54,35,47,2,1,!borehole3
41.94635793,0.5,54,35,48,2,1,!borehole3
38.95533953,0.5,54,35,49,2,1,!borehole3
35.28695849,0.5,54,35,50,2,1,!borehole3
30.95307899,0.5,54,35,51,2,1,!borehole3
26.64386258,0.5,54,35,52,2,1,!borehole3
22.3606132,0.5,54,35,53,2,1,!borehole3
18.10215409,0.5,54,35,54,2,1,!borehole3
13.86169391,0.5,54,35,55,2,1,!borehole3
119.1823547,0.5,50,45,27,2,1,!borehole4
116.0572282,0.5,50,45,28,2,1,!borehole4
112.957218,0.5,50,45,29,2,1,!borehole4
109.8822067,0.5,50,45,30,2,1,!borehole4
106.8327853,0.5,50,45,31,2,1,!borehole4
103.8108839,0.5,50,45,32,2,1,!borehole4
100.8207587,0.5,50,45,33,2,1,!borehole4
97.87291822,0.5,50,45,34,2,1,!borehole4
94.99276549,0.5,50,45,35,2,1,!borehole4
91.47912598,0.5,50,45,36,2,1,!borehole4
87.19649227,0.5,50,45,37,2,1,!borehole4
82.79254227,0.5,50,45,38,2,1,!borehole4
78.34851355,0.5,50,45,39,2,1,!borehole4
73.8967568,0.5,50,45,40,2,1,!borehole4
69.45190057,0.5,50,45,41,2,1,!borehole4
65.02189817,0.5,50,45,42,2,1,!borehole4
60.61046679,0.5,50,45,43,2,1,!borehole4
56.21948051,0.5,50,45,44,2,1,!borehole4
51.84704504,0.5,50,45,45,2,1,!borehole4
48.76857273,0.5,50,45,46,2,1,!borehole4
46.97532915,0.5,50,45,47,2,1,!borehole4
44.58129132,0.5,50,45,48,2,1,!borehole4
41.59178297,0.5,50,45,49,2,1,!borehole4
37.93666653,0.5,50,45,50,2,1,!borehole4
33.62177802,0.5,50,45,51,2,1,!borehole4
29.32585003,0.5,50,45,52,2,1,!borehole4
25.04631439,0.5,50,45,53,2,1,!borehole4
20.77683124,0.5,50,45,54,2,1,!borehole4
16.70056199,0.5,50,45,55,2,1,!borehole4
