Real_0,Real_1,Real_2,Real_3,Real_4,Real_5,Real_6,Real_7,Real_8,Real_9
-533.6732509048729,-532.6737513817501,-534.0384679100351,-533.1436876390652,-534.590898040266,-533.4833304136022,-533.631909565141,-534.1862928008667,-533.8730750610237,-534.0975480943656
-533.4697120757993,-531.7187999421875,-534.0091467079911,-532.0398445166488,-534.3471222978021,-533.2755488355987,-533.1267225589739,-534.0748606221615,-533.6009434986942,-534.0573433047703
-529.3783331575218,-529.0368788932984,-528.4620482229483,-529.9540475360752,-525.6082910795781,-527.2757593455066,-528.7478600666598,-527.9316975974297,-527.3592856778151,-526.2074167729373
-533.6919691032616,-531.9523826111572,-534.0553352026576,-532.6320336574164,-533.8455090855442,-532.6414839347397,-533.0932529069476,-534.3871683385988,-533.5749495087013,-533.3708632750801
-533.7352595104458,-532.0929813081117,-534.1974622023254,-532.6496738185837,-533.6929348445842,-532.8908571587245,-533.2192268002844,-534.2625197118875,-533.7897806696484,-533.4227632265429
-537.7046731161735,-533.6532586506565,-538.2608086471151,-534.2065445481051,-538.4490367450621,-536.7291868606488,-536.196118731194,-538.3883608822802,-538.1388398719196,-538.3727189392407
-525.2194156470478,-526.7278400738819,-524.0339666177684,-527.1481036652585,-522.3295238778861,-524.4706619654128,-525.4027986870491,-524.5195243040941,-524.3241797679624,-522.8898772305926
-532.7366640568539,-531.3642772605145,-532.3282420507982,-531.8016264533314,-530.0391049056755,-530.6588633748693,-531.6354259099304,-531.954041164934,-531.3966985304331,-530.1237754617259
-529.3449657333869,-528.7685931459637,-528.5172515836879,-529.1093424639851,-525.8869798871688,-527.1401480916403,-528.4303629561209,-528.4773375035162,-528.274786840278,-525.9416715410631
-523.4196880001566,-524.7872637607346,-522.3719256750705,-525.4267847279948,-520.977688144186,-523.274910550414,-524.5999614907998,-522.538046566409,-522.8075189768713,-521.4160409309771
-533.3598935990476,-531.9418083438724,-533.4027776791033,-532.2192147644593,-532.7288530174025,-532.0625038443553,-532.4268647092185,-533.4030581523233,-533.2190500008048,-532.4812106551228
-534.2287521203107,-532.7941813585135,-534.8138959186869,-532.8616260391182,-535.1566911769576,-533.4611233961501,-533.6806493642634,-535.095507035863,-534.3433283706471,-534.7112867598667
-530.6161834792728,-531.0225988549212,-530.5392699071349,-531.1938571948011,-530.4043669818619,-530.7247996923309,-530.815106661115,-530.9058081987527,-530.7005118198232,-530.6019064029697
-533.1601276168748,-531.7888507204913,-533.9600437611433,-531.7436981062335,-535.0100429198616,-532.6328205475573,-532.59647888954,-534.4318375443803,-533.3650757722183,-534.1322354042571
-530.4566259228496,-529.547840515595,-530.9235903004961,-529.569787874638,-531.4566023771753,-529.8241569522346,-529.795834892175,-530.9662532934124,-530.5105463787859,-530.803884978909
