,X,Y,Z,X_c,Y_c,Z_c,surface,series,id,order_series,smooth
68,16602.76089,4600,645.33139,0.541627281233067,0.4596900434363425,0.5568014926899272,Thrust1_south,Thrust1_series,1,1,2e-06
69,17194.59763,4600,-190.51198,0.5520255842574917,0.4596900434363425,0.5421161038743963,Thrust1_south,Thrust1_series,1,1,2e-06
70,19004.92282,4600,-868.22282,0.5838321765592286,0.4596900434363425,0.5302090318713008,Thrust1_south,Thrust1_series,1,1,2e-06
143,16602.76089,9200,645.33139,0.541627281233067,0.5405099565636574,0.5568014926899272,Thrust1_south,Thrust1_series,1,1,2e-06
144,17194.59763,9200,-190.51198,0.5520255842574917,0.5405099565636574,0.5421161038743963,Thrust1_south,Thrust1_series,1,1,2e-06
145,19004.92282,9200,-868.22282,0.5838321765592286,0.5405099565636574,0.5302090318713008,Thrust1_south,Thrust1_series,1,1,2e-06
71,19353.06207,4600,419.42778,0.5899488252421,0.4596900434363425,0.5528324687474605,Thrust2_south,Thrust2_series,2,2,2e-06
72,20014.52666,4600,-303.46379,0.6015704580030989,0.4596900434363425,0.5401315918153152,Thrust2_south,Thrust2_series,2,2,2e-06
73,21581.153309999998,4600,-958.58427,0.629095377515259,0.4596900434363425,0.5286214221888969,Thrust2_south,Thrust2_series,2,2,2e-06
74,26768.428219999998,4600,-1636.29546,0.7202334443834547,0.4596900434363425,0.51671434403646,Thrust2_south,Thrust2_series,2,2,2e-06
146,19353.06207,9200,419.42778,0.5899488252421,0.5405099565636574,0.5528324687474605,Thrust2_south,Thrust2_series,2,2,2e-06
147,20014.52666,9200,-303.46379,0.6015704580030989,0.5405099565636574,0.5401315918153152,Thrust2_south,Thrust2_series,2,2,2e-06
148,21581.153309999998,9200,-958.58427,0.629095377515259,0.5405099565636574,0.5286214221888969,Thrust2_south,Thrust2_series,2,2,2e-06
149,26768.428219999998,9200,-1636.29546,0.7202334443834547,0.5405099565636574,0.51671434403646,Thrust2_south,Thrust2_series,2,2,2e-06
0,8964.41142,4600,-312.85706,0.4074249463197036,0.4596900434363425,0.5399665563228411,Fault2,Fault2_series,3,3,2e-06
1,9134.99965,4600,-1341.42848,0.4104221041303867,0.4596900434363425,0.5218950231033543,Fault2,Fault2_series,3,3,2e-06
2,9476.17612,4600,-2519.99991,0.4164164199274485,0.4596900434363425,0.5011880577583684,Fault2,Fault2_series,3,3,2e-06
3,9874.21534,4600,-3655.7142,0.42340978844520155,0.4596900434363425,0.4812340729202705,Fault2,Fault2_series,3,3,2e-06
4,10385.98005,4600,-4769.99991,0.4324012622286419,0.4596900434363425,0.46165657851131214,Fault2,Fault2_series,3,3,2e-06
5,11068.33299,4600,-6162.85706,0.44438989382276534,0.4596900434363425,0.4371847102804949,Fault2,Fault2_series,3,3,2e-06
75,8964.41142,9200,-312.85706,0.4074249463197036,0.5405099565636574,0.5399665563228411,Fault2,Fault2_series,3,3,2e-06
76,9134.99965,9200,-1341.42848,0.4104221041303867,0.5405099565636574,0.5218950231033543,Fault2,Fault2_series,3,3,2e-06
77,9476.17612,9200,-2519.99991,0.4164164199274485,0.5405099565636574,0.5011880577583684,Fault2,Fault2_series,3,3,2e-06
78,9874.21534,9200,-3655.7142,0.42340978844520155,0.5405099565636574,0.4812340729202705,Fault2,Fault2_series,3,3,2e-06
79,10385.98005,9200,-4769.99991,0.4324012622286419,0.5405099565636574,0.46165657851131214,Fault2,Fault2_series,3,3,2e-06
80,11068.33299,9200,-6162.85706,0.44438989382276534,0.5405099565636574,0.4371847102804949,Fault2,Fault2_series,3,3,2e-06
6,17323.23495,4600,-848.5713400000001,0.5542856836112592,0.4596900434363425,0.5305542994596536,Fault5,Fault5_series,4,4,2e-06
7,16754.6075,4600,-2048.57134,0.544295157282823,0.4596900434363425,0.5094708438612237,Fault5,Fault5_series,4,4,2e-06
8,16129.1173,4600,-3441.4284799999996,0.5333055782336954,0.4596900434363425,0.48499897580610185,Fault5,Fault5_series,4,4,2e-06
9,15333.038869999998,4600,-4491.42848,0.5193188413738847,0.4596900434363425,0.4665509521574756,Fault5,Fault5_series,4,4,2e-06
81,17323.23495,9200,-848.5713400000001,0.5542856836112592,0.5405099565636574,0.5305542994596536,Fault5,Fault5_series,4,4,2e-06
82,16754.6075,9200,-2048.57134,0.544295157282823,0.5405099565636574,0.5094708438612237,Fault5,Fault5_series,4,4,2e-06
83,16129.1173,9200,-3441.4284799999996,0.5333055782336954,0.5405099565636574,0.48499897580610185,Fault5,Fault5_series,4,4,2e-06
84,15333.038869999998,9200,-4491.42848,0.5193188413738847,0.5405099565636574,0.4665509521574756,Fault5,Fault5_series,4,4,2e-06
10,20109.50946,4600,-1019.99991,0.6032392627084444,0.4596900434363425,0.5275423772564058,Fault6,Fault6_series,5,5,2e-06
11,19711.470240000002,4600,-1855.7142,0.5962458941906914,0.4596900434363425,0.5128592563179155,Fault6,Fault6_series,5,5,2e-06
12,19085.98005,4600,-2798.57134,0.5852563153172592,0.4596900434363425,0.4962936841122049,Fault6,Fault6_series,5,5,2e-06
85,20109.50946,9200,-1019.99991,0.6032392627084444,0.5405099565636574,0.5275423772564058,Fault6,Fault6_series,5,5,2e-06
86,19711.470240000002,9200,-1855.7142,0.5962458941906914,0.5405099565636574,0.5128592563179155,Fault6,Fault6_series,5,5,2e-06
87,19085.98005,9200,-2798.57134,0.5852563153172592,0.5405099565636574,0.4962936841122049,Fault6,Fault6_series,5,5,2e-06
