X,Y,Z,grav
26868.69,2000.0,726.13,-527.9671553626998
9050.51,4285.71,692.74,-528.9700926930296
9333.33,10000.0,784.86,-527.9852852069082
9050.51,13428.57,781.5,-529.5600085392975
1696.97,10571.43,864.15,-539.2587298137076
8767.68,7428.57,860.96,-530.0334360163081
20646.46,8857.14,393.74,-533.1485895992179
18666.67,6000.0,357.77,-530.1931427265326
16121.21,12857.14,575.53,-526.4985915520617
13292.93,2285.71,745.0,-522.8924244158117
11878.79,9142.86,546.32,-522.5872161224809
20646.46,10285.71,408.42,-533.3120762991784
19232.32,9142.86,402.86,-531.7253610574036
13010.1,7142.86,567.88,-521.6789305818348
26868.69,285.71,717.35,-528.1660079074188
