% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    21       12        2     0.14916460E+03  0.15145234E+03  0.50000000E+00 -0.22877353E+01 -0.45754707E+01  0.60000000E+08     1
    32    15    22       12        2     0.14553645E+03  0.14773580E+03  0.50000000E+00 -0.21993456E+01 -0.43986912E+01  0.60000000E+08     1
    32    15    23       12        2     0.14192424E+03  0.14403725E+03  0.50000000E+00 -0.21130119E+01 -0.42260238E+01  0.60000000E+08     1
    32    15    24       12        2     0.13832750E+03  0.14035619E+03  0.50000000E+00 -0.20286879E+01 -0.40573759E+01  0.60000000E+08     1
    32    15    25       12        2     0.13474568E+03  0.13669201E+03  0.50000000E+00 -0.19463342E+01 -0.38926684E+01  0.60000000E+08     1
    32    15    26       12        2     0.13117814E+03  0.13304408E+03  0.50000000E+00 -0.18659421E+01 -0.37318843E+01  0.60000000E+08     1
    32    15    27       12        2     0.12762413E+03  0.12941170E+03  0.50000000E+00 -0.17875619E+01 -0.35751238E+01  0.60000000E+08     1
    32    15    28       12        2     0.12408283E+03  0.12579415E+03  0.50000000E+00 -0.17113182E+01 -0.34226364E+01  0.60000000E+08     1
    32    15    29       12        2     0.12055337E+03  0.12219071E+03  0.50000000E+00 -0.16373413E+01 -0.32746825E+01  0.60000000E+08     1
    32    15    30       12        2     0.11703487E+03  0.11860055E+03  0.50000000E+00 -0.15656883E+01 -0.31313767E+01  0.60000000E+08     1
    32    15    31       12        2     0.11352636E+03  0.11502268E+03  0.50000000E+00 -0.14963207E+01 -0.29926413E+01  0.60000000E+08     1
    32    15    32       12        2     0.11002675E+03  0.11145585E+03  0.50000000E+00 -0.14291028E+01 -0.28582056E+01  0.60000000E+08     1
    32    15    33       12        2     0.10653472E+03  0.10789855E+03  0.50000000E+00 -0.13638323E+01 -0.27276646E+01  0.60000000E+08     1
    32    15    34       12        2     0.10304876E+03  0.10434913E+03  0.50000000E+00 -0.13003711E+01 -0.26007422E+01  0.60000000E+08     1
    32    15    35       12        2     0.99567248E+02  0.10080633E+03  0.50000000E+00 -0.12390781E+01 -0.24781561E+01  0.60000000E+08     1
    32    15    36       12        2     0.96088942E+02  0.97269028E+02  0.50000000E+00 -0.11800868E+01 -0.23601736E+01  0.60000000E+08     1
    32    15    37       12        2     0.92612880E+02  0.93735758E+02  0.50000000E+00 -0.11228780E+01 -0.22457560E+01  0.60000000E+08     1
    32    15    38       12        2     0.89137821E+02  0.90204327E+02  0.50000000E+00 -0.10665056E+01 -0.21330111E+01  0.60000000E+08     1
    32    15    39       12        2     0.85661978E+02  0.86671385E+02  0.50000000E+00 -0.10094071E+01 -0.20188142E+01  0.60000000E+08     1
    32    15    40       12        2     0.82182690E+02  0.83131509E+02  0.50000000E+00 -0.94881907E+00 -0.18976381E+01  0.60000000E+08     1
    32    15    41       12        2     0.78695756E+02  0.79575263E+02  0.50000000E+00 -0.87950755E+00 -0.17590151E+01  0.60000000E+08     1
    32    15    42       12        2     0.75193991E+02  0.75984904E+02  0.50000000E+00 -0.79091278E+00 -0.15818256E+01  0.60000000E+08     1
    32    15    43       12        2     0.71664048E+02  0.72324252E+02  0.50000000E+00 -0.66020348E+00 -0.13204070E+01  0.60000000E+08     1
    32    15    44       12        2     0.68078009E+02  0.68531442E+02  0.50000000E+00 -0.45343285E+00 -0.90686569E+00  0.60000000E+08     1
    32    15    45       12        2     0.64383510E+02  0.64669560E+02  0.50000000E+00 -0.28605056E+00 -0.57210112E+00  0.60000000E+08     1
    32    15    46       12        2     0.60624841E+02  0.60810325E+02  0.50000000E+00 -0.18548395E+00 -0.37096790E+00  0.60000000E+08     1
    32    15    47       12        2     0.56899809E+02  0.56994213E+02  0.50000000E+00 -0.94404352E-01 -0.18880870E+00  0.60000000E+08     1
    32    15    48       12        2     0.53298856E+02  0.53259247E+02  0.50000000E+00  0.39608613E-01  0.79217226E-01  0.60000000E+08     1
    32    15    49        9        2     0.50487237E+02  0.49667649E+02  0.50000000E+00  0.81958805E+00  0.16391761E+01  0.60000000E+08     1
    32    15    50        8        2     0.47648419E+02  0.46839711E+02  0.50000000E+00  0.80870783E+00  0.16174157E+01  0.60000000E+08     1
